loan_id,issue_date,term_months,loan_amnt,interest_rate,grade,sub_grade,emp_length_years,annual_income,dti,state,home_ownership,purpose,application_type,verification_status,delinq_2yrs,inq_last_6m,open_acc,revol_util,revol_bal,total_acc,earliest_credit_line_year,fico_low,fico_high,pub_rec,mort_acc,pub_rec_bankruptcies,default,default_date,last_pymnt_date,recoveries,collection_recovery_fee
1,2024-05-02,36,8600.0,9.5,B,B1,8,138600.0,13.72,MO,RENT,credit_card,INDIVIDUAL,Verified,0,2,6,50.4,48570.0,10,1992,610,628,0,1,1,0,,2025-07-02,0.0,0.0
2,2019-10-19,36,11400.0,13.83,C,C1,7,91200.0,27.0,IA,RENT,debt_consolidation,INDIVIDUAL,Source Verified,0,3,8,31.9,24000.0,14,1989,695,723,0,2,0,0,,2021-08-19,0.0,0.0
3,2024-01-21,36,12200.0,22.06,F,F5,6,25200.0,9.63,TN,MORTGAGE,moving,INDIVIDUAL,Verified,0,2,12,23.5,85870.0,22,2010,684,696,0,1,0,0,,2024-10-21,0.0,0.0
4,2022-01-15,60,15300.0,20.81,F,F5,6,45900.0,22.6,WI,RENT,debt_consolidation,INDIVIDUAL,Source Verified,1,0,12,48.2,17130.0,13,2012,704,709,0,1,0,0,,2024-01-15,0.0,0.0
5,2022-12-03,60,5500.0,15.69,D,D2,7,45300.0,22.46,KS,RENT,house,INDIVIDUAL,Verified,0,3,8,23.2,88600.0,15,1989,657,689,1,2,0,1,2024-07-03,2024-09-03,769.59,171.51
6,2022-09-04,36,18300.0,15.53,D,D4,9,44200.0,24.28,DE,RENT,debt_consolidation,INDIVIDUAL,Not Verified,1,1,10,48.2,762780.0,16,2008,689,714,0,2,0,0,,2024-05-04,0.0,0.0
7,2022-03-22,60,13900.0,11.42,C,C4,9,112600.0,19.37,KS,RENT,medical,JOINT,Source Verified,0,1,9,23.1,25400.0,12,1991,715,730,0,0,0,0,,2025-08-22,0.0,0.0
8,2019-02-19,36,14400.0,19.29,E,E2,5,19700.0,15.69,NC,MORTGAGE,credit_card,INDIVIDUAL,Verified,0,1,8,68.0,42190.0,17,2016,612,644,0,2,0,0,,2019-09-19,0.0,0.0
9,2022-03-21,36,10100.0,12.47,D,D5,5,144800.0,34.75,NC,RENT,credit_card,JOINT,Not Verified,0,2,9,20.2,98760.0,14,2002,569,580,1,1,0,0,,2024-08-21,0.0,0.0
10,2023-02-06,60,10900.0,7.25,A,A2,6,114600.0,11.86,UT,RENT,other,JOINT,Not Verified,0,2,11,74.0,196520.0,15,2015,678,691,0,1,0,0,,2027-03-06,0.0,0.0
11,2020-12-17,60,12800.0,18.62,E,E5,4,73300.0,23.03,SD,RENT,major_purchase,JOINT,Not Verified,0,1,13,46.4,123880.0,21,1994,635,653,0,2,0,1,2022-08-17,2022-06-17,595.91,130.03
12,2020-11-20,36,7600.0,16.18,D,D1,13,80200.0,18.13,WV,RENT,debt_consolidation,INDIVIDUAL,Verified,0,2,11,28.4,244510.0,22,2009,733,761,0,0,0,0,,2021-10-20,0.0,0.0
13,2023-04-04,36,2600.0,11.94,C,C2,0,69000.0,20.4,NV,RENT,debt_consolidation,INDIVIDUAL,Verified,0,1,6,30.1,31580.0,11,2012,724,757,1,1,0,0,,2024-10-04,0.0,0.0
14,2020-06-07,36,9500.0,15.06,D,D3,8,72200.0,20.36,DE,RENT,credit_card,INDIVIDUAL,Verified,0,4,7,38.1,13830.0,10,1991,685,701,0,1,0,1,2021-09-07,2022-10-07,700.72,73.99
15,2020-10-19,36,5000.0,14.13,C,C5,8,122900.0,10.42,AZ,MORTGAGE,credit_card,INDIVIDUAL,Source Verified,0,1,8,55.7,49340.0,10,1993,671,700,0,1,0,0,,2021-05-19,0.0,0.0
16,2021-07-10,36,7100.0,19.91,E,E1,3,58500.0,8.6,SD,MORTGAGE,debt_consolidation,INDIVIDUAL,Not Verified,0,0,7,50.6,95840.0,11,2014,693,706,0,3,0,0,,2023-05-10,0.0,0.0
